Year,Population,Cases total,Frequency,Solution,Suspects,German Suspects,Foreigners,Foreign Suspects,Frequency Foreign
2005,82501000,6287780,7622,54.3,2238550,1789991,,448559,
2006,82438000,6203074,7525,54.7,2204819,1776909,,427910,
2007,82314900,6195622,7527,54.4,2225139,1801851,,423288,
2008,82217800,6036828,7343,54.3,2196728,1782382,6727618,414346,6158.881196881274
2009,82002400,5980089,7293,55.1,2133703,1723185,6694776,410518,6131.915391941418
2010,81802300,5859125,7163,55.5,2098601,1679369,6753621,419232,6207.514457799749
2011,81751602,5912355,7232,54.1,2054232,1626973,6930896,427259,6164.556501785628
2012,81843743,5908011,7219,53.7,2025957,1590398,7213708,435559,6037.934998200648
2013,80523746,5851107,7266,53.7,2007328,1554313,7633628,453015,5934.46523723713
2014,80767463,5925668,7337,53.7,2023623,1531013,8152968,492610,6042.094118362786
2015,81197537,5927908,7301,53.4,2011898,1456078,9107893,555820,6102.618904284449
2016,82175684,5884815,7161,54.0,2022414,1406184,10039080,616230,6138.31147874108
