"state","Cases","Deaths","Rate","Above_2_percent","Below_2_percent","Above_5_percent"
"1","New York",441911,33019,0.0747186650705685,FALSE,FALSE,TRUE
"2","New Jersey",195414,16014,0.081949092695508,FALSE,FALSE,TRUE
"3","California",751615,14100,0.0187596043187004,TRUE,TRUE,FALSE
"4","Texas",669652,13930,0.0208018493187506,FALSE,FALSE,FALSE
"5","Florida",654731,12326,0.0188260522260287,TRUE,TRUE,FALSE
"6","Massachusetts",123546,9166,0.0741909895909216,FALSE,FALSE,TRUE
"7","Illinois",257566,8461,0.0328498326642492,FALSE,FALSE,FALSE
"8","Pennsylvania",146696,7807,0.0532189016742106,FALSE,FALSE,TRUE
"9","Michigan",120846,6894,0.0570478129189216,FALSE,FALSE,TRUE
"10","Georgia",289123,6204,0.0214579953860468,FALSE,FALSE,FALSE
"11","Arizona",207002,5273,0.0254731838339726,FALSE,FALSE,FALSE
"12","Louisiana",155419,5161,0.0332070081521564,FALSE,FALSE,FALSE
"13","Connecticut",54093,4478,0.0827833545930157,FALSE,FALSE,TRUE
"14","Ohio",134086,4354,0.032471697268917,FALSE,FALSE,FALSE
"15","Maryland",114724,3828,0.0333670374115268,FALSE,FALSE,FALSE
"16","Indiana",102243,3410,0.0333519165126219,FALSE,FALSE,FALSE
"17","North Carolina",180754,2990,0.0165418192681766,TRUE,TRUE,FALSE
"18","South Carolina",126592,2975,0.0235006951466127,FALSE,FALSE,FALSE
"19","Virginia",131571,2711,0.0206048445326098,FALSE,FALSE,FALSE
"20","Mississippi",88322,2656,0.0300717827947737,FALSE,FALSE,FALSE
"21","Alabama",135565,2301,0.0169734075904548,TRUE,TRUE,FALSE
"22","Tennessee",168237,1988,0.011816663397469,TRUE,TRUE,FALSE
"23","Washington",78467,1985,0.0252972587202263,FALSE,FALSE,FALSE
"24","Colorado",60155,1979,0.0328983459396559,FALSE,FALSE,FALSE
"25","Minnesota",82249,1936,0.0235382801006699,FALSE,FALSE,FALSE
"26","Missouri",98894,1713,0.017321576637612,TRUE,TRUE,FALSE
"27","Nevada",72546,1429,0.0196978468833568,TRUE,TRUE,FALSE
"28","Iowa",72749,1208,0.0166050392445257,TRUE,TRUE,FALSE
"29","Wisconsin",84881,1193,0.0140549710771551,TRUE,TRUE,FALSE
"30","Rhode Island",22782,1067,0.0468352207883417,FALSE,FALSE,FALSE
"31","Kentucky",54772,1035,0.0188965164682685,TRUE,TRUE,FALSE
"32","Arkansas",66804,940,0.0140710137117538,TRUE,TRUE,FALSE
"33","Oklahoma",66700,876,0.0131334332833583,TRUE,TRUE,FALSE
"34","New Mexico",26429,816,0.0308751749971622,FALSE,FALSE,FALSE
"35","District of Columbia",14493,616,0.0425032774442834,FALSE,FALSE,FALSE
"36","Delaware",18466,613,0.0331961442651359,FALSE,FALSE,FALSE
"37","Puerto Rico",36581,523,0.0142970394467073,TRUE,TRUE,FALSE
"38","Kansas",47911,504,0.0105195049153639,TRUE,TRUE,FALSE
"39","Oregon",28654,497,0.0173448733161164,TRUE,TRUE,FALSE
"40","New Hampshire",7573,434,0.0573088604251948,FALSE,FALSE,TRUE
"41","Nebraska",37373,430,0.0115056324084232,TRUE,TRUE,FALSE
"42","Utah",56019,430,0.00767596708259698,TRUE,TRUE,FALSE
"43","Idaho",34617,407,0.0117572291070861,TRUE,TRUE,FALSE
"44","West Virginia",12016,258,0.0214713715046605,FALSE,FALSE,FALSE
"45","South Dakota",15834,177,0.0111784766957181,TRUE,TRUE,FALSE
"46","North Dakota",14443,160,0.0110780308800111,TRUE,TRUE,FALSE
"47","Maine",4760,134,0.0281512605042017,FALSE,FALSE,FALSE
"48","Montana",8663,123,0.0141983146715918,TRUE,TRUE,FALSE
"49","Hawaii",10292,94,0.00913330742324135,TRUE,TRUE,FALSE
"50","Vermont",1661,58,0.0349187236604455,FALSE,FALSE,FALSE
"51","Wyoming",4199,42,0.0100023815194094,TRUE,TRUE,FALSE
"52","Alaska",6012,42,0.00698602794411178,TRUE,TRUE,FALSE
